2026-04-16 05:25:03 status half-installed libpam-runtime:all 1.7.0-5
2026-04-16 05:25:03 status unpacked libpam-runtime:all 1.7.0-5
2026-04-16 05:25:03 install libpam0g:amd64 <none> 1.7.0-5
2026-04-16 05:25:03 status half-installed libpam0g:amd64 1.7.0-5
2026-04-16 05:25:03 status unpacked libpam0g:amd64 1.7.0-5
2026-04-16 05:25:03 install libpcre2-8-0:amd64 <none> 10.46-1~deb13u1
2026-04-16 05:25:03 status half-installed libpcre2-8-0:amd64 10.46-1~deb13u1
2026-04-16 05:25:03 status unpacked libpcre2-8-0:amd64 10.46-1~deb13u1
2026-04-16 05:25:03 install libseccomp2:amd64 <none> 2.6.0-2
2026-04-16 05:25:03 status half-installed libseccomp2:amd64 2.6.0-2
2026-04-16 05:25:04 status unpacked libseccomp2:amd64 2.6.0-2
2026-04-16 05:25:04 install libselinux1:amd64 <none> 3.8.1-1
2026-04-16 05:25:04 status half-installed libselinux1:amd64 3.8.1-1
2026-04-16 05:25:04 status unpacked libselinux1:amd64 3.8.1-1
2026-04-16 05:25:04 install libsemanage-common:all <none> 3.8.1-1
2026-04-16 05:25:04 status half-installed libsemanage-common:all 3.8.1-1
2026-04-16 05:25:04 status unpacked libsemanage-common:all 3.8.1-1
2026-04-16 05:25:04 install libsemanage2:amd64 <none> 3.8.1-1
2026-04-16 05:25:04 status half-installed libsemanage2:amd64 3.8.1-1
2026-04-16 05:25:04 status unpacked libsemanage2:amd64 3.8.1-1
2026-04-16 05:25:04 install libsepol2:amd64 <none> 3.8.1-1
2026-04-16 05:25:04 status half-installed libsepol2:amd64 3.8.1-1
2026-04-16 05:25:04 status unpacked libsepol2:amd64 3.8.1-1
2026-04-16 05:25:04 install libsmartcols1:amd64 <none> 2.41-5
2026-04-16 05:25:04 status half-installed libsmartcols1:amd64 2.41-5
2026-04-16 05:25:04 status unpacked libsmartcols1:amd64 2.41-5
2026-04-16 05:25:04 install libsqlite3-0:amd64 <none> 3.46.1-7+deb13u1
2026-04-16 05:25:04 status half-installed libsqlite3-0:amd64 3.46.1-7+deb13u1
2026-04-16 05:25:04 status unpacked libsqlite3-0:amd64 3.46.1-7+deb13u1
2026-04-16 05:25:04 install libssl3t64:amd64 <none> 3.5.5-1~deb13u1
2026-04-16 05:25:04 status half-installed libssl3t64:amd64 3.5.5-1~deb13u1
2026-04-16 05:25:04 status unpacked libssl3t64:amd64 3.5.5-1~deb13u1
2026-04-16 05:25:04 install libstdc++6:amd64 <none> 14.2.0-19
2026-04-16 05:25:04 status half-installed libstdc++6:amd64 14.2.0-19
2026-04-16 05:25:04 status unpacked libstdc++6:amd64 14.2.0-19
2026-04-16 05:25:04 install libsystemd0:amd64 <none> 257.9-1~deb13u1
2026-04-16 05:25:04 status half-installed libsystemd0:amd64 257.9-1~deb13u1
2026-04-16 05:25:04 status unpacked libsystemd0:amd64 257.9-1~deb13u1
2026-04-16 05:25:04 install libtinfo6:amd64 <none> 6.5+20250216-2
