TRACE pc=1093906 n=1 ptr=61 val=1 elapsed=2.09
TRACE pc=1093973 n=1 ptr=60 val=1 elapsed=2.09
TRACE pc=1085906 n=14 ptr=49 val=1 elapsed=2.09
TRACE pc=1094047 n=1 ptr=52 val=1 elapsed=2.09
TRACE pc=1094053 n=1 ptr=60 val=1 elapsed=2.09
TRACE pc=1085906 n=15 ptr=49 val=1 elapsed=4.59
TRACE pc=1085906 n=16 ptr=49 val=1 elapsed=4.61
TRACE pc=1085906 n=17 ptr=49 val=1 elapsed=4.62
TRACE pc=1085906 n=18 ptr=49 val=1 elapsed=4.62
TRACE pc=1085906 n=19 ptr=49 val=1 elapsed=4.62
TRACE pc=1085906 n=20 ptr=49 val=1 elapsed=4.62
TRACE pc=1093021 n=2 ptr=52 val=1 elapsed=4.62
TRACE pc=1093218 n=2 ptr=52 val=1 elapsed=4.62
TRACE pc=1093463 n=2 ptr=52 val=1 elapsed=4.62
TRACE pc=1093900 n=2 ptr=52 val=1 elapsed=4.62
TRACE pc=1093906 n=2 ptr=61 val=1 elapsed=4.62
TRACE pc=1093973 n=2 ptr=60 val=1 elapsed=4.62
TRACE pc=1094047 n=2 ptr=52 val=1 elapsed=4.62
TRACE pc=1094053 n=2 ptr=60 val=1 elapsed=4.62
TRACE pc=1093021 n=3 ptr=52 val=1 elapsed=7.73
TRACE pc=1093218 n=3 ptr=52 val=1 elapsed=7.74
TRACE pc=1093463 n=3 ptr=52 val=1 elapsed=7.74
TRACE pc=1093900 n=3 ptr=52 val=1 elapsed=7.74
TRACE pc=1093906 n=3 ptr=61 val=1 elapsed=7.74
TRACE pc=1093973 n=3 ptr=60 val=1 elapsed=7.74
TRACE pc=1094047 n=3 ptr=52 val=1 elapsed=7.74
TRACE pc=1094053 n=3 ptr=60 val=1 elapsed=7.74
TRACE pc=1085906 n=50 ptr=49 val=1 elapsed=11.15
TRACE pc=1093021 n=4 ptr=52 val=1 elapsed=11.15
TRACE pc=1093218 n=4 ptr=52 val=1 elapsed=11.15
TRACE pc=1093463 n=4 ptr=52 val=1 elapsed=11.16
TRACE pc=1093900 n=4 ptr=52 val=1 elapsed=11.16
TRACE pc=1093906 n=4 ptr=61 val=1 elapsed=11.16
TRACE pc=1093973 n=4 ptr=60 val=1 elapsed=11.16
TRACE pc=1094047 n=4 ptr=52 val=1 elapsed=11.16
TRACE pc=1094053 n=4 ptr=60 val=1 elapsed=11.16
TRACE pc=1091930 n=1 ptr=52 val=1 elapsed=14.67

OUT#1 byte=2b elapsed=14.70
TRACE pc=1091998 n=1 ptr=61 val=1 elapsed=14.70
TRACE pc=1092129 n=1 ptr=61 val=255 elapsed=14.70
TRACE pc=1092129 n=2 ptr=61 val=254 elapsed=14.70
TRACE pc=1092129 n=3 ptr=61 val=253 elapsed=14.70
TRACE pc=1092129 n=4 ptr=61 val=252 elapsed=14.70
TRACE pc=1092129 n=5 ptr=61 val=251 elapsed=14.70
TRACE pc=1092129 n=6 ptr=61 val=250 elapsed=14.70
