42.156.137.104 - - [29/Jul/2016:00:24:13 +0800] "GET /sxzn/foreground/viewMetadata.action?id=72 HTTP/1.1" 200 9104
42.156.139.104 - - [29/Jul/2016:00:24:14 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=AE1FD325C42C5882C843C52543CF073F HTTP/1.1" 200 26368
42.156.136.104 - - [29/Jul/2016:00:24:15 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=B2386767BD2CA660FE1410D92CEEE022 HTTP/1.1" 200 26368
68.180.231.62 - - [29/Jul/2016:00:24:39 +0800] "GET /sxzn/foreground/listDataOfMD.action?id=114 HTTP/1.1" 302 -
68.180.231.62 - - [29/Jul/2016:00:25:01 +0800] "GET /sxzn/login.action;jsessionid=DB6AF6E4B7675C3EBCBD3752F71BEE88 HTTP/1.1" 200 7451
61.149.81.22 - - [29/Jul/2016:00:25:59 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [29/Jul/2016:00:25:59 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
111.192.102.34 - - [29/Jul/2016:00:26:17 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [29/Jul/2016:00:26:17 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
58.32.44.98 - - [29/Jul/2016:00:26:55 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [29/Jul/2016:00:26:56 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
203.208.60.132 - - [29/Jul/2016:00:27:12 +0800] "GET / HTTP/1.1" 302 -
203.208.60.132 - - [29/Jul/2016:00:27:12 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
42.156.138.104 - - [29/Jul/2016:00:27:47 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=FB1E09EF70283679587CEBAFC865F1FD HTTP/1.1" 200 26368
42.156.137.104 - - [29/Jul/2016:00:27:47 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=799B869E4E8269745731B9492BC4F9D3 HTTP/1.1" 200 26368
42.156.139.104 - - [29/Jul/2016:00:27:48 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=FA049BCA3ACD56F9A40C6CB083E10C99 HTTP/1.1" 200 26368
42.156.136.104 - - [29/Jul/2016:00:27:49 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=89A4AF1E2BB39BD17067ED438DA6B646 HTTP/1.1" 200 26368
119.251.5.199 - - [29/Jul/2016:00:28:11 +0800] "GET /favicon.ico HTTP/1.1" 404 988
119.251.5.199 - - [29/Jul/2016:00:28:12 +0800] "GET / HTTP/1.1" 302 -
119.251.5.199 - - [29/Jul/2016:00:28:12 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
119.251.5.199 - - [29/Jul/2016:00:28:12 +0800] "GET /sxzn/css/index.css HTTP/1.1" 200 1730
119.251.5.199 - - [29/Jul/2016:00:28:12 +0800] "GET /sxzn/css/layout.css HTTP/1.1" 200 6591
119.251.5.199 - - [29/Jul/2016:00:28:12 +0800] "GET /sxzn/images/doc_02.gif HTTP/1.1" 200 55
119.251.5.199 - - [29/Jul/2016:00:28:12 +0800] "GET /sxzn/rand.action HTTP/1.1" 200 1306
119.251.5.199 - - [29/Jul/2016:00:28:12 +0800] "GET /sxzn/images/new.gif HTTP/1.1" 200 1816
119.251.5.199 - - [29/Jul/2016:00:28:12 +0800] "GET /sxzn/images/banner.jpg HTTP/1.1" 200 38590
119.251.5.199 - - [29/Jul/2016:00:28:12 +0800] "GET /sxzn/images/banner_home.jpg HTTP/1.1" 200 50428
119.251.5.199 - - [29/Jul/2016:00:28:12 +0800] "GET /sxzn/images/Search_icon.gif HTTP/1.1" 200 344
119.251.5.199 - - [29/Jul/2016:00:28:12 +0800] "GET /sxzn/images/point.gif HTTP/1.1" 200 134
119.251.5.199 - - [29/Jul/2016:00:28:12 +0800] "GET /sxzn/images/leftSubTitle_bg.gif HTTP/1.1" 200 53
119.251.5.199 - - [29/Jul/2016:00:28:12 +0800] "GET /sxzn/images/options.png HTTP/1.1" 200 615
119.251.5.199 - - [29/Jul/2016:00:28:12 +0800] "GET /sxzn/images/new1.gif HTTP/1.1" 200 1724
119.251.5.199 - - [29/Jul/2016:00:28:12 +0800] "GET /sxzn/images/yonghu.jpg HTTP/1.1" 200 31309
119.251.5.199 - - [29/Jul/2016:00:28:13 +0800] "GET /sxzn/images/icon.gif HTTP/1.1" 200 119
119.251.5.199 - - [29/Jul/2016:00:28:12 +0800] "GET /sxzn/images/bg.jpg HTTP/1.1" 200 19679
119.251.5.199 - - [29/Jul/2016:00:28:13 +0800] "GET /sxzn/images/zh-cn.gif HTTP/1.1" 200 891
119.251.5.199 - - [29/Jul/2016:00:28:13 +0800] "GET /favicon.ico HTTP/1.1" 404 988
119.251.5.199 - - [29/Jul/2016:00:28:22 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
119.251.5.199 - - [29/Jul/2016:00:28:22 +0800] "GET /sxzn/rand.action HTTP/1.1" 200 1218
113.95.12.85 - - [29/Jul/2016:00:28:56 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [29/Jul/2016:00:28:57 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
203.208.60.130 - - [29/Jul/2016:00:29:03 +0800] "GET /sxzn/foreground/viewMetadata.action?id=59 HTTP/1.1" 200 9527
61.149.81.22 - - [29/Jul/2016:00:29:56 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [29/Jul/2016:00:29:56 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18819
